CityCode,NameOwner,NameCity,TotalCitizen,Jews,Arabs,Age0to6,Age6to18,Age19to45,Age46to55,Age56to65,Age65plus,Vanilla,Chocolate,Strawberry,Lemon,Halva
48,מתוש,מנחמיה,1238,1226,12,110,203,445,146,149,185,100,100,100,100,100
49,מעד,אילניה ,603,593,10,34,103,235,91,67,73,100,100,100,100,100
52,זאודי,לוזית,777,774,3,97,237,260,96,52,35,100,100,100,100,100
53,יעלמטלה,עתלית,8296,8214,82,861,1884,2883,942,672,1054,100,100,100,100,100
55,ענתות,נוגה ,593,593,0,58,135,205,60,40,95,100,100,100,100,100
58,איוות,מצפה ,168,168,0,17,17,64,17,18,35,100,100,100,100,100
59,זרדכאן,נחושה,1472,1472,0,147,613,504,130,49,29,100,100,100,100,100
65,ליבנה,מגדל ,2020,1968,52,203,427,726,213,223,228,100,100,100,100,100
67,מרתה,אור הנר,923,923,0,95,202,356,101,64,105,100,100,100,100,100
69,שמש,ניר עוז,492,489,3,61,91,158,53,27,102,100,100,100,100,100
70,ידאויגא,אשדוד,253322,252971,351,22756,51294,85851,28446,23421,41554,100,100,100,100,100
71,תסאם,אשבול,652,652,0,60,180,239,69,39,65,100,100,100,100,100
72,ליקין,גן שמואל ,1211,1208,3,97,188,398,144,110,274,100,100,100,100,100
74,וטרוסלב,עין הוד,679,674,5,46,127,218,113,63,112,100,100,100,100,100
76,עיזר,כפר גלעדי,746,743,3,48,124,239,115,44,176,100,100,100,100,100
77,ראומי,איילת השחר ,1139,1139,0,67,242,361,158,89,222,100,100,100,100,100
78,זולוף,קרית ענבים ,397,388,9,25,59,132,65,35,81,100,100,100,100,100
80,קאלין,נהלל ,1039,1033,6,97,212,385,96,88,161,100,100,100,100,100
84,טובאיה,תל יוסף,553,553,0,43,136,174,56,37,107,100,100,100,100,100
85,לוואא,כפר יחזקאל ,1113,1104,9,112,293,383,121,68,136,100,100,100,100,100
86,דשון,גבע,729,729,0,55,122,250,89,75,138,100,100,100,100,100
88,אונקיוש,כרם בן שמן ,89,89,0,14,17,27,4,8,19,100,100,100,100,100
92,עטואת,גיניגר ,804,779,25,66,157,268,89,85,139,100,100,100,100,100
94,הילדגארד,בלפוריה,571,571,0,55,126,209,63,38,80,100,100,100,100,100
95,וויולן,בית אלפא ,943,938,5,66,159,327,92,72,227,100,100,100,100,100
96,בילונה,יגור ,1835,1835,0,147,305,716,210,127,330,100,100,100,100,100
99,ענבל,מצפה רמון,5603,5397,206,606,1200,2195,542,432,628,100,100,100,100,100
102,וינדפראו,מאיר שפיה,147,94,53,9,32,54,11,22,19,100,100,100,100,100
103,ז'ולאטה,תל עדשים ,1311,1298,13,101,377,428,197,103,105,100,100,100,100,100
104,דלרז'ון,מזרע ,935,935,0,84,142,298,100,99,212,100,100,100,100,100
106,אלינוס,כפר גדעון,322,322,0,41,103,108,16,18,36,100,100,100,100,100
107,סימאצ'או,כפר סילבר,141,119,22,15,25,67,15,13,6,100,100,100,100,100
113,אנאניי,אדירים ,333,333,0,29,77,112,47,28,40,100,100,100,100,100
115,זאיז,חופית,969,969,0,46,191,286,156,85,205,100,100,100,100,100
122,מרידך,רמת ישי,7869,7856,13,601,1608,2814,934,859,1053,100,100,100,100,100
126,גורדזה,שריד ,1148,1148,0,75,264,344,135,74,256,100,100,100,100,100
127,דוויתי,רמת רחל,550,550,0,61,105,203,60,56,65,100,100,100,100,100
128,אית'אר,גת רימון ,280,280,0,30,49,96,29,22,54,100,100,100,100,100
130,מילורד,משמר העמק,1399,1399,0,114,198,510,173,130,274,100,100,100,100,100
132,שרהלאה,כפר ברוך ,608,608,0,64,187,201,58,24,74,100,100,100,100,100
134,אמהל,יפעת ,1219,1208,11,96,281,372,177,78,215,100,100,100,100,100
135,גלוה,רמת דוד,624,624,0,68,161,209,63,33,90,100,100,100,100,100
139,דלית,עין שמר,768,768,0,45,121,265,80,62,195,100,100,100,100,100
140,סולטאניק,כפר יהושע,1215,1215,0,77,312,390,194,89,153,100,100,100,100,100
141,וודאנה,ברק,401,401,0,30,69,148,43,39,72,100,100,100,100,100
142,בוליסן,שדה יעקב ,1082,1082,0,131,334,353,98,64,102,100,100,100,100,100
143,יאזגייל,בית זרע,765,765,0,48,96,299,82,62,178,100,100,100,100,100
144,אמילנה,גן שלמה,611,611,0,77,128,199,64,48,95,100,100,100,100,100
145,בתריסייה,גדיש ,356,356,0,25,59,115,63,45,49,100,100,100,100,100
146,הררי,דבורה,323,323,0,21,73,90,39,30,70,100,100,100,100,100
147,שרימאר,גבעת ברנר,2813,2813,0,201,628,891,430,183,480,100,100,100,100,100
